"Yaya","สุดยอด พัฐสิฏ เพิ่มพูลสวัสดิ์","야야","Studio Wabi Sabi","B","1997","t","74"
"Bae Seung Yoon","배승윤","-","Individual Trainee","A","1995","t","40"
"Yuma","-","유우마","Stone Music Entertainment","F","1999","t","77"
"Nam Seung Hyun","남승현","-","EZ Entertainment","B","1999","t","93"
"Kang Hyun Woo","강현우","-","Starship Entertainment","A","2000","t","72"
"Moon Hyun Bin","문현빈","-","Rain Company","A","2000","t","45"
"Ha Seok Hee","하석희","-","Woollim Entertainment","C","2000","t","90"
"Kim Dae Hui","김대희","-","8D Creative","F","2000","t","1"
"Tae Seon","태선","-","GGA","A","2000","t","6"
"K-Soul","苏尔","소울","Woollim Entertainment","B","2000","t","87"
"Keum Jin Ho","금진호","-","Urban Works","C","2000","t","81"
"Nam Jin Myung","남진명","-","WM Entertainment","A","2000","t","85"
"Shiryu","시류","-","Cube Entertainment","B","2001","e","31"
"Kang Seon Jun","강선준","-","Pledis Entertainment","A","2001","e","67"
"Moon Jae Young","문재영","-","AKB48","D","2001","e","10"
"Kang Min Seo","강민서","-","AKB48","B","2001","e","21"
"Park Min Geun","박민근","-","NMB48","D","2001","e","63"
"Kim Seung Jun","김승준","-","AKB48","D","2000","e","19"
"Long Guohao","-","롱궈하오","ONE COOL JACSO","A","2001","e","20"
"Jin Myung Jae","진명제","-","A+ entertainment","D","2001","e","35"
"Hikari","-","히카리","KISS Entertainment","A","2001","e","23"
"Lee Han Bin","이한빈","-","EZ Entertainment","C","2001","e","61"
"Ling Qi","凌崎","링치","Boyi Culture","C","2002","e","33"
"Hwang Jae Min","황재민","-","RBW entertainment","C","2002","e","5"
"Park Hyeong Geun","박형근","-","RBW entertainment","F","2003","e","76"
"Hinata","-","히나타","Pledis Entertainment","F","2003","e","66"
"Ivan","-","아이반","True Fun Entertainment","A","2003","e","94"
"Yu Jun Won","유준원","-","AKB48","D","2003","e","8"
"Santa","แซนต้า พงศภัค อุดมโภชน์","산타","Studio Wabi Sabi","C","2003","e","95"
"Ha Jae Min","하재민","-","Rainbow Bridge World","A","2003","e","68"
"Jung Goo Hyun","정구헌","-","Stone Music Entertainment","D","2003","e","78"
"Oh Byeong Yong","오병용","-","HKT48","F","2003","e","42"
"TK","-","티케이","Studio Wabi Sabi","A","2003","e","24"
"Jeon Byeong Cheol","전병철","-","Future Idol Asia","B","2003","e","52"
"Hikaru","-","히카루","AKB48","F","2003","e","4"
"Kang Dae Hyeon","강대현","-","AKB48","B","2003","e","9"
"Seo Sang Woo","서상우","-","ONE COOL JACSO","C","2003","e","46"
"Choi Min Seo","최민서","-","Stone Music Entertainment","B","2004","e","75"
"Kim Woo Seok","김우석","-","AKB48","D","2004","e","12"
"Hayato","-","하야토","AKB48","D","2004","e","3"
"Kim Beom Jun","김범준","-","AKB48","C","2004","e","14"
"Hong Seong Min","홍성민","-","NGT48","F","2004","e","59"
"Park Seong Min","박성민","-","MND17","B","2005","e","56"
"Cho Yeon Woo","조연우","-","Great M Entertainment","B","2005","e","41"
"Song Du Hyun","송두현","-","EDEN Entertainment","D","2005","e","47"
"Kim Kyu Hyun","김규현","-","Redstart ENM","F","2005","e","36"
"Moon Hyeok Jun","문혁준","사토 미나미","AKB48","F","2006","e","17"
"Daniel Hyunoo Lachapelle","다니엘 현우 라샤펠","-","MNH Entertainment","A","2006","e","57"
"Jeong Deun Haesol","정든해솔","-","Allart entertainment","C","2006","e","28"
"Jung Bo Moon","정보문","-","A team","C","2007","e","2"
"Bae Jae Ho","배재호","-","Woollim Entertainment","B","2008","e","88"
"Oh Hyeon Tae","오현태","-","ABYSS Entertainment","B","2008","e","48"
"Kang Irang","강이랑","-","Maroo Entertainment","D","2008","e","11"
"Kim Gyu Rae","김규래","-","JYP Entertainment","D","2009","e","50"
"Kaedan","케이단","-","Collazoo Company","B","2009","e","30"
